n_mfcc,model_type,batch_size,epochs,learning_rate,accuracy,loss,validation_accuracy,validation_loss,precision,recall,f1_score
20,CNN_2D_basic,16,20,0.001,0.7724999785423279,0.6713155508041382,0.796875,0.7112526297569275,0.8083635222276893,0.7725,0.7717869135559894
20,CNN_2D_basic,16,20,0.0001,0.12125000357627869,6.095724105834961,0.23906250298023224,6.24904727935791,0.014701562500000001,0.12125,0.026223522853957636
20,CNN_2D_basic,16,20,1e-05,0.10000000149011612,2.734334945678711,0.11562500149011612,2.665515899658203,0.011170212765957447,0.1,0.020095693779904306
20,CNN_2D_basic,16,50,0.001,0.8450000286102295,0.46155059337615967,0.807812511920929,0.6123915314674377,0.8493173072154155,0.845,0.8443329807498696
20,CNN_2D_basic,16,50,0.0001,0.762499988079071,1.0769211053848267,0.762499988079071,1.32094407081604,0.8129184415876418,0.7625,0.7666124600954823
20,CNN_2D_basic,16,50,1e-05,0.09000000357627869,3.2585110664367676,0.14687499403953552,3.146301031112671,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,16,100,0.001,0.8500000238418579,0.571241021156311,0.8343750238418579,0.6963542103767395,0.8611651365234982,0.85,0.8500787378524294
20,CNN_2D_basic,16,100,0.0001,0.12125000357627869,5.9182257652282715,0.2578125,6.220316410064697,0.01728208826503301,0.12125,0.029418025362318842
20,CNN_2D_basic,16,100,1e-05,0.09375,3.495579481124878,0.1484375,3.554377317428589,0.0087890625,0.09375,0.016071428571428573
20,CNN_2D_basic,32,20,0.001,0.8637499809265137,0.5411103963851929,0.84375,0.5998951196670532,0.8736216725693045,0.86375,0.8644965699447273
20,CNN_2D_basic,32,20,0.0001,0.09000000357627869,4.765878200531006,0.11093749850988388,4.5695881843566895,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,32,20,1e-05,0.09000000357627869,2.622589111328125,0.10000000149011612,2.6217029094696045,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,32,50,0.001,0.8550000190734863,0.5009707808494568,0.8296874761581421,0.7201088666915894,0.8645062029027752,0.855,0.8544944571435635
20,CNN_2D_basic,32,50,0.0001,0.09000000357627869,4.220739841461182,0.10000000149011612,4.232355117797852,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,32,50,1e-05,0.09000000357627869,2.469109535217285,0.11249999701976776,2.4796533584594727,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,32,100,0.001,0.8887500166893005,0.4692216217517853,0.8203125,0.6067976951599121,0.8960329304447279,0.88875,0.8896293307111831
20,CNN_2D_basic,32,100,0.0001,0.12125000357627869,5.043763160705566,0.08124999701976776,5.19825553894043,0.014701562500000001,0.12125,0.026223522853957636
20,CNN_2D_basic,32,100,1e-05,0.12125000357627869,2.7511489391326904,0.13750000298023224,2.9515652656555176,0.014701562500000001,0.12125,0.026223522853957636
20,CNN_2D_basic,64,20,0.001,0.10750000178813934,6.667713165283203,0.12968750298023224,6.680075645446777,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_basic,64,20,0.0001,0.12125000357627869,2.313453435897827,0.1171875,2.3236846923828125,0.014701562500000001,0.12125,0.026223522853957636
20,CNN_2D_basic,64,20,1e-05,0.09000000357627869,2.543928384780884,0.10000000149011612,2.5624186992645264,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,64,50,0.001,0.09000000357627869,3.3759896755218506,0.15000000596046448,3.392660140991211,0.008470588235294117,0.09,0.015483870967741937
20,CNN_2D_basic,64,50,0.0001,0.09000000357627869,4.235357284545898,0.10000000149011612,4.240304470062256,0.0081,0.09,0.014862385321100917
20,CNN_2D_basic,64,50,1e-05,0.10750000178813934,2.464296817779541,0.109375,2.4533612728118896,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_basic,64,100,0.001,0.8487499952316284,0.5685408711433411,0.848437488079071,0.6479800343513489,0.8593945814079943,0.84875,0.8489302458176661
20,CNN_2D_basic,64,100,0.0001,0.10750000178813934,3.3483526706695557,0.109375,3.562068462371826,0.011867779204107832,0.1075,0.021375722543352606
20,CNN_2D_basic,64,100,1e-05,0.1599999964237213,2.359675168991089,0.12968750298023224,2.361238956451416,0.03353661219358894,0.16,0.05540723981900452
20,CNN_2D_deep,16,20,0.001,0.8112499713897705,0.611260175704956,0.8140624761581421,0.6075011491775513,0.8313241236438017,0.81125,0.812223341784334
20,CNN_2D_deep,16,20,0.0001,0.8349999785423279,0.5495018362998962,0.8203125,0.5694344639778137,0.8567880375042077,0.835,0.8358216201945297
20,CNN_2D_deep,16,20,1e-05,0.23250000178813934,2.6399199962615967,0.2874999940395355,2.6992011070251465,0.4526454359927988,0.2325,0.17191611333853213
20,CNN_2D_deep,16,50,0.001,0.800000011920929,0.6593785881996155,0.801562488079071,0.6443658471107483,0.8375104980378416,0.8,0.7995683846497695
20,CNN_2D_deep,16,50,0.0001,0.8762500286102295,0.3889586329460144,0.839062511920929,0.4939977526664734,0.8818158811838294,0.87625,0.8770189054170361
20,CNN_2D_deep,16,50,1e-05,0.10750000178813934,2.6490888595581055,0.19687500596046448,2.5983176231384277,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,16,100,0.001,0.8675000071525574,0.4789617955684662,0.8578125238418579,0.5000287294387817,0.875385983346442,0.8675,0.8675817704745873
20,CNN_2D_deep,16,100,0.0001,0.8487499952316284,0.5750231146812439,0.828125,0.6063847541809082,0.8621277713826957,0.84875,0.8494872993492872
20,CNN_2D_deep,16,100,1e-05,0.35249999165534973,2.231057643890381,0.34687501192092896,2.4207217693328857,0.5418759182311007,0.3525,0.3094084052376715
20,CNN_2D_deep,32,20,0.001,0.10875000059604645,2.478503942489624,0.3125,2.456373453140259,0.034391909705366146,0.10875,0.04757388704509041
20,CNN_2D_deep,32,20,0.0001,0.8637499809265137,0.45201361179351807,0.823437511920929,0.5926225781440735,0.8815762106961995,0.86375,0.8657189777575384
20,CNN_2D_deep,32,20,1e-05,0.0925000011920929,2.531538724899292,0.10000000149011612,2.536661148071289,0.014705501152073731,0.0925,0.020796832275705515
20,CNN_2D_deep,32,50,0.001,0.10999999940395355,2.778085947036743,0.359375,2.7489571571350098,0.03844397405872815,0.11,0.025608438080967844
20,CNN_2D_deep,32,50,0.0001,0.8537499904632568,0.42748862504959106,0.815625011920929,0.5721172094345093,0.8778220645743942,0.85375,0.8573149998402113
20,CNN_2D_deep,32,50,1e-05,0.10999999940395355,3.2503316402435303,0.109375,2.9287500381469727,0.017103180584865842,0.0875,0.028609345564026268
20,CNN_2D_deep,32,100,0.001,0.09375,4.039544582366943,0.22343750298023224,3.921807050704956,0.0087890625,0.09375,0.016071428571428573
20,CNN_2D_deep,32,100,0.0001,0.10750000178813934,2.8413281440734863,0.14687499403953552,2.856518268585205,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,32,100,1e-05,0.1550000011920929,2.1303117275238037,0.19687500596046448,2.1323657035827637,0.3074667496920738,0.155,0.10950963047288312
20,CNN_2D_deep,64,20,0.001,0.10750000178813934,3.819047212600708,0.109375,3.7264580726623535,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,64,20,0.0001,0.09000000357627869,2.802577495574951,0.10000000149011612,2.7598633766174316,0.0081,0.09,0.014862385321100917
20,CNN_2D_deep,64,20,1e-05,0.10750000178813934,2.4244134426116943,0.109375,2.4578075408935547,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,64,50,0.001,0.10750000178813934,3.3058207035064697,0.14374999701976776,3.303579330444336,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,64,50,0.0001,0.09000000357627869,3.182399272918701,0.10000000149011612,3.183716297149658,0.0081,0.09,0.014862385321100917
20,CNN_2D_deep,64,50,1e-05,0.09375,2.483440637588501,0.10000000149011612,2.5078883171081543,0.0087890625,0.09375,0.016071428571428573
20,CNN_2D_deep,64,100,0.001,0.10750000178813934,3.6111109256744385,0.1171875,3.622255325317383,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,64,100,0.0001,0.10750000178813934,3.500419855117798,0.109375,3.490216016769409,0.011556249999999999,0.1075,0.020869074492099324
20,CNN_2D_deep,64,100,1e-05,0.09375,2.3596231937408447,0.10000000149011612,2.3628077507019043,0.0087890625,0.09375,0.016071428571428573
20,CRNN,16,20,0.001,0.5637500286102295,1.2814130783081055,0.609375,1.178436517715454,0.5933340492728774,0.56375,0.56450003146116
20,CRNN,16,20,0.0001,0.762499988079071,0.8147934675216675,0.692187488079071,1.0395398139953613,0.8073751153936611,0.7625,0.7624927609095944
20,CRNN,16,20,1e-05,0.5099999904632568,1.5047311782836914,0.484375,1.5500624179840088,0.6037252803790999,0.51,0.48526248384033827
20,CRNN,16,50,0.001,0.4637500047683716,1.4522535800933838,0.5390625,1.3015233278274536,0.5314761340743033,0.46375,0.4532738738543091
20,CRNN,16,50,0.0001,0.6912500262260437,0.9663081169128418,0.660937488079071,1.1670558452606201,0.7583809198932444,0.69125,0.693274030022594
20,CRNN,16,50,1e-05,0.6399999856948853,1.0895298719406128,0.606249988079071,1.19260573387146,0.7399293052452367,0.64,0.6335794363790136
20,CRNN,16,100,0.001,0.71875,0.9454126954078674,0.7406250238418579,0.8137280344963074,0.7372175352151165,0.71875,0.7209459470849424
