iter	Passed	Remaining
305	3630	8234
306	3641	8220
307	3653	8207
308	3664	8194
309	3675	8181
310	3687	8169
311	3699	8157
312	3710	8143
313	3721	8130
314	3732	8117
315	3744	8105
316	3756	8092
317	3767	8080
318	3779	8067
319	3791	8056
320	3803	8045
321	3816	8036
322	3828	8025
323	3840	8012
324	3851	7999
325	3863	7987
326	3875	7976
327	3887	7964
328	3898	7951
329	3909	7938
330	3921	7926
331	3934	7915
332	3946	7904
333	3958	7894
334	3971	7883
335	3983	7872
336	3995	7860
337	4007	7848
338	4019	7837
339	4030	7824
340	4044	7815
341	4057	7806
342	4069	7794
343	4080	7782
344	4091	7768
345	4103	7756
346	4115	7745
347	4127	7733
348	4138	7720
349	4150	7707
350	4161	7695
351	4173	7683
352	4184	7670
353	4196	7657
354	4208	7645
355	4219	7632
356	4230	7619
357	4242	7608
358	4254	7596
359	4266	7584
360	4278	7573
361	4289	7559
362	4300	7547
363	4312	7534
364	4323	7522
365	4335	7510
366	4347	7497
367	4358	7484
368	4369	7472
369	4381	7459
370	4392	7447
371	4403	7434
372	4416	7423
373	4427	7410
374	4438	7397
375	4449	7384
376	4461	7373
377	4472	7359
378	4484	7347
379	4495	7335
380	4507	7322
381	4518	7310
382	4530	7298
383	4541	7285
384	4553	7273
385	4564	7261
386	4576	7248
387	4587	7236
388	4599	7224
389	4611	7212
390	4622	7199
391	4633	7187
392	4646	7175
393	4657	7164
394	4670	7153
395	4682	7142
396	4695	7131
397	4706	7118
398	4718	7107
399	4730	7095
400	4742	7084
401	4754	7072
402	4765	7059
403	4777	7047
404	4789	7036
405	4801	7024
406	4813	7013
407	4824	7000
408	4836	6988
409	4848	6976
410	4864	6971
411	4876	6960
412	4888	6948
413	4900	6936
414	4912	6925
415	4925	6914
416	4937	6903
417	4950	6892
418	4963	6882
419	4975	6871
420	4992	6865
421	5003	6853
422	5016	6843
423	5028	6831
424	5040	6819
425	5052	6807
426	5063	6794
427	5074	6782
428	5086	6770
429	5098	6758
430	5109	6746
431	5121	6733
432	5132	6721
433	5144	6709
434	5157	6698
435	5168	6686
436	5179	6673
437	5191	6661
438	5202	6648
439	5214	6636
440	5227	6626
441	5240	6615
442	5252	6603
443	5264	6592
444	5275	6579
445	5287	6567
446	5298	6555
447	5310	6542
448	5321	6530
449	5334	6520
450	5346	6508
451	5358	6496
452	5370	6484
453	5380	6471
454	5392	6459
455	5403	6446
456	5418	6438
457	5431	6427
458	5444	6417
459	5461	6411
460	5475	6401
461	5488	6391
462	5500	6379
463	5511	6366
464	5523	6354
465	5535	6342
466	5548	6332
467	5559	6319
468	5570	6307
469	5582	6294
470	5594	6282
471	5605	6270
472	5616	6257
473	5628	6246
474	5640	6233
475	5651	6221
476	5663	6209
477	5674	6197
478	5686	6184
479	5697	6172
480	5709	6160
481	5721	6149
482	5733	6137
483	5744	6124
484	5757	6113
485	5768	6101
486	5780	6089
487	5792	6077
488	5805	6066
489	5816	6053
490	5828	6041
491	5839	6029
492	5851	6017
493	5862	6005
494	5873	5992
495	5885	5980
496	5897	5968
497	5909	5957
498	5922	5945
499	5934	5934
500	5947	5924
501	5960	5913
502	5972	5901
503	5985	5890
504	5997	5878
505	6009	5867
506	6021	5855
507	6033	5843
508	6045	5831
509	6056	5819
510	6068	5807
511	6079	5794
512	6091	5782
513	6102	5770
514	6115	5758
515	6128	5748
516	6140	5736
517	6152	5724
518	6163	5712
519	6175	5700
520	6188	5689
521	6200	5677
522	6212	5665
523	6223	5653
524	6235	5641
525	6247	5629
526	6258	5617
527	6270	5605
528	6281	5592
529	6293	5580
530	6303	5567
531	6315	5555
532	6327	5543
533	6339	5531
534	6350	5519
535	6362	5507
536	6373	5495
537	6385	5483
538	6396	5470
539	6407	5458
540	6419	5446
541	6431	5434
542	6443	5423
543	6454	5410
544	6465	5398
545	6477	5385
546	6488	5373
547	6500	5361
548	6511	5349
549	6523	5337
550	6535	5325
551	6546	5313
552	6558	5300
553	6569	5288
554	6581	5276
555	6592	5264
556	6604	5252
557	6615	5240
558	6627	5228
559	6639	5216
560	6650	5204
561	6661	5191
562	6673	5179
563	6685	5167
564	6697	5156
565	6708	5144
566	6721	5132
567	6734	5121
568	6746	5109
569	6757	5097
570	6768	5085
571	6780	5073
572	6793	5062
573	6805	5050
574	6816	5038
575	6828	5026
576	6839	5014
577	6851	5002
578	6862	4989
579	6874	4978
580	6886	4966
581	6898	4954
582	6912	4943
583	6923	4932
584	6936	4920
585	6950	4910
586	6962	4898
587	6974	4886
588	6986	4874
589	6998	4863
590	7009	4851
591	7021	4839
592	7033	4827
593	7044	4815
594	7057	4803
595	7068	4791
596	7079	4779
597	7091	4767
598	7103	4755
599	7114	4743
600	7126	4731
601	7138	4719
602	7149	4707
603	7161	4695
604	7173	4683
605	7184	4671
606	7196	4659
607	7208	4647
608	7219	4635
609	7230	4622
610	7241	4610
611	7253	4598
612	7264	4586
613	7276	4574
614	7287	4561
615	7298	4549
616	7309	4537
617	7321	4525
618	7332	4513
619	7344	4501
620	7355	4488
621	7366	4476
622	7378	4464
623	7390	4453
624	7401	4441
625	7412	4428
626	7424	4416
627	7435	4404
628	7446	4392
629	7458	4380
630	7470	4368
631	7481	4356
632	7492	4344
633	7504	4332
634	7515	4320
635	7527	4307
636	7539	4296
637	7550	4284
638	7562	4272
639	7573	4260
640	7584	4247
641	7596	4236
642	7607	4223
643	7618	4211
644	7630	4199
645	7642	4187
646	7654	4176
647	7665	4163
648	7676	4151
649	7688	4139
650	7699	4127
651	7710	4115
652	7722	4103
653	7733	4091
654	7745	4079
655	7756	4067
656	7768	4055
657	7780	4044
658	7793	4032
659	7805	4020
660	7817	4009
661	7828	3996
662	7840	3985
663	7850	3972
664	7862	3960
665	7873	3948
666	7884	3936
667	7896	3924
668	7909	3913
669	7921	3901
670	7933	3889
671	7946	3878
672	7957	3866
673	7969	3854
674	7981	3843
675	7993	3831
676	8004	3819
677	8016	3807
678	8028	3795
679	8039	3783
680	8051	3771
681	8062	3759
682	8073	3747
683	8085	3735
684	8097	3723
685	8108	3711
686	8120	3699
687	8132	3688
688	8144	3676
689	8155	3664
690	8167	3652
691	8178	3640
692	8190	3628
693	8201	3616
694	8212	3604
695	8224	3592
696	8235	3580
697	8247	3568
698	8258	3556
699	8269	3544
700	8281	3532
701	8293	3520
702	8305	3508
703	8316	3496
704	8328	3485
705	8339	3472
706	8350	3460
707	8361	3448
708	8373	3436
709	8384	3424
710	8395	3412
711	8407	3400
712	8418	3388
713	8430	3376
714	8442	3365
715	8453	3353
716	8465	3341
717	8476	3329
718	8488	3317
719	8499	3305
720	8511	3293
721	8522	3281
722	8533	3269
723	8545	3257
724	8556	3245
725	8568	3233
726	8580	3222
727	8592	3210
728	8603	3198
729	8614	3186
730	8626	3174
731	8637	3162
732	8648	3150
733	8660	3138
734	8671	3126
735	8683	3114
736	8694	3102
737	8706	3090
738	8718	3079
739	8729	3067
740	8741	3055
741	8753	3043
742	8765	3031
743	8778	3020
744	8791	3009
745	8803	2997
746	8815	2985
747	8825	2973
748	8837	2961
749	8849	2949
750	8860	2937
751	8872	2925
752	8883	2914
753	8895	2902
754	8907	2890
755	8919	2878
756	8932	2867
757	8944	2855
758	8956	2843
759	8969	2832
760	8981	2820
761	8992	2808
762	9004	2796
763	9016	2785
764	9028	2773
765	9039	2761
766	9050	2749
767	9062	2737
768	9073	2725
769	9085	2713
770	9096	2701
771	9107	2689
772	9119	2677
773	9130	2666
774	9142	2654
775	9153	2642
776	9164	2630
777	9175	2618
778	9186	2606
779	9197	2594
780	9209	2582
781	9220	2570
782	9232	2558
783	9243	2546
784	9254	2534
785	9266	2522
786	9277	2510
787	9289	2499
788	9300	2487
789	9312	2475
790	9323	2463
791	9335	2451
792	9346	2439
793	9360	2428
794	9371	2416
795	9383	2404
796	9394	2392
797	9406	2381
798	9417	2369
799	9429	2357
800	9440	2345
801	9451	2333
802	9463	2321
803	9474	2309
804	9485	2297
805	9496	2285
806	9508	2273
807	9519	2262
808	9530	2250
809	9541	2238
810	9553	2226
811	9564	2214
812	9576	2202
813	9587	2190
814	9598	2178
815	9609	2166
816	9620	2155
817	9632	2143
818	9644	2131
819	9656	2119
820	9667	2107
821	9678	2095
822	9689	2083
823	9701	2072
824	9712	2060
825	9723	2048
826	9734	2036
827	9746	2024
828	9758	2012
829	9770	2001
830	9782	1989
831	9794	1977
832	9806	1965
833	9817	1954
834	9829	1942
835	9840	1930
836	9852	1918
837	9863	1906
838	9875	1894
839	9886	1883
840	9898	1871
841	9910	1859
842	9922	1848
843	9935	1836
844	9947	1824
845	9960	1813
846	9972	1801
847	9983	1789
848	9995	1777
849	10007	1766
850	10020	1754
851	10031	1742
852	10043	1730
853	10055	1719
854	10065	1707
855	10077	1695
856	10089	1683
857	10102	1672
858	10114	1660
859	10126	1648
860	10138	1636
861	10153	1625
862	10165	1613
863	10176	1601
864	10188	1590
865	10199	1578
866	10211	1566
867	10222	1554
868	10234	1542
869	10245	1530
870	10256	1519
871	10268	1507
872	10280	1495
873	10291	1483
874	10302	1471
875	10314	1459
876	10325	1448
877	10336	1436
878	10348	1424
879	10360	1412
880	10371	1400
881	10383	1389
882	10394	1377
883	10406	1365
884	10418	1353
885	10429	1341
886	10440	1330
887	10452	1318
888	10464	1306
889	10475	1294
890	10486	1282
891	10497	1271
892	10508	1259
893	10520	1247
894	10532	1235
895	10543	1223
896	10555	1212
897	10566	1200
898	10578	1188
899	10589	1176
900	10600	1164
901	10612	1153
902	10624	1141
903	10635	1129
904	10646	1117
905	10657	1105
906	10669	1094
907	10680	1082
908	10692	1070
909	10703	1058
910	10715	1046
911	10726	1035
912	10738	1023
913	10749	1011
914	10761	999
915	10773	987
916	10785	976
917	10798	964
918	10810	952
919	10822	941
920	10835	929
921	10847	917
922	10859	905
923	10870	894
924	10882	882
925	10894	870
926	10906	858
927	10918	847
928	10930	835
929	10943	823
930	10955	811
931	10967	800
932	10979	788
933	10991	776
934	11002	764
935	11015	753
936	11027	741
937	11040	729
938	11052	717
939	11063	706
940	11075	694
941	11086	682
942	11097	670
943	11108	658
944	11120	647
945	11131	635
946	11142	623
947	11154	611
948	11165	600
949	11176	588
950	11187	576
951	11198	564
952	11210	552
953	11221	541
954	11233	529
955	11244	517
956	11255	505
957	11267	493
958	11278	482
959	11289	470
960	11301	458
961	11312	446
962	11324	435
963	11335	423
964	11346	411
965	11357	399
966	11369	387
967	11380	376
968	11392	364
969	11403	352
970	11414	340
971	11426	329
972	11438	317
973	11450	305
974	11461	293
975	11473	282
976	11484	270
977	11495	258
978	11506	246
979	11518	235
980	11530	223
981	11542	211
982	11553	199
983	11565	188
984	11576	176
985	11588	164
986	11599	152
987	11610	141
988	11622	129
989	11634	117
990	11645	105
991	11656	94
992	11668	82
993	11679	70
994	11691	58
995	11702	46
996	11714	35
997	11725	23
998	11737	11
999	11749	0
